X,Y,Dist,bottom,surface
-169544.99945391784,-2208024.070336134,12351.965548037377,0.14339818936418147,1107.4024562221791
-169633.8815477386,-2208005.3961517657,12442.788824125888,1.2829415520646332,1107.707031787923
-169722.75928464285,-2207986.701144757,12533.612100214397,-16.937136248036175,1105.592444916009
-169811.59352155385,-2207967.7992984448,12624.435376302908,-25.911063203655264,1107.112437987582
-169900.40080929632,-2207948.7694871672,12715.258652391418,-42.2055275837695,1103.583938396382
-169989.15982891724,-2207929.518349099,12806.081928479927,-45.453624665813486,1104.8627597644045
-170077.89201277753,-2207910.1444582986,12896.905204568438,-36.720936446838806,1105.9593795262736
-170166.52572489376,-2207890.3237529853,12987.728480656948,-35.19017810265006,1106.21425092007
-170255.03353954485,-2207869.9497890575,13078.551756745459,-14.020451253675837,1102.743969012982
-170343.48532433153,-2207849.3332192143,13169.375032833968,3.3960905432214474,1103.3376240075352
-170431.83550319978,-2207828.282666907,13260.198308922478,-0.020439277349868543,1103.23881263005
-170520.09784022873,-2207806.869446328,13351.021585010989,29.247262319244328,1099.8792776763962
-170608.258586878,-2207785.0405073166,13441.844861099498,54.59222453211112,1099.956247401375
-170696.32140990248,-2207762.8207373447,13532.66813718801,55.74776646566007,1100.25
-170784.28539149492,-2207740.212859419,13623.491413276519,51.949513793510626,1096.3995137935106
-170872.17524326846,-2207717.318381203,13714.31468936503,52.56635310553535,1097.4078006477819
-170959.96560893068,-2207694.0456005586,13805.13796545354,6.8283672012630285,1098.6453236005605
-171047.67421561523,-2207670.4660545015,13895.961241542049,3.2226129916776007,1095.7082073799095
-171135.31650455002,-2207646.640726435,13986.78451763056,2.5569936190983804,1093.5816821955048
-171222.86506507767,-2207622.474281421,14077.60779371907,49.70476519345336,1093.9197190587104
-171310.35008053127,-2207598.0767820645,14168.43106980758,49.201381600348505,1091.6130969741916
-171397.8042978958,-2207573.5702280514,14259.25434589609,46.087122676136936,1091.4085380315735
-171485.19122256935,-2207548.8257706054,14350.0776219846,47.09061441697085,1092.4303872011706
-171572.51830024895,-2207523.8701893543,14440.90089807311,42.17758729670454,1088.692979020598
-171659.77716294254,-2207498.677060319,14531.72417416162,28.76427657414792,1090.100138699702
-171746.97309359847,-2207473.267857287,14622.547450250131,17.14023456241812,1086.7558144935012
-171834.0984413561,-2207447.6168221226,14713.37072633864,4.891669738507888,1083.8181950919402
-171921.0884686526,-2207421.510432067,14804.19400242715,-4.024330195197777,1081.6380082919109
-172007.90275070374,-2207394.798392115,14895.017278515661,4.661690718941898,1080.3079691551013
-172094.62815178806,-2207367.7701518727,14985.84055460417,13.347711633081397,1078.9779300182918
-172181.26034432685,-2207340.420624699,15076.663830692682,22.03373254722107,1077.6478908814822
-172267.79500074155,-2207312.7447239547,15167.487106781191,30.71975346136057,1076.317851744673
-172354.22779345335,-2207284.7373630013,15258.310382869702,39.40577437550024,1074.9878126078634
-172440.55439488363,-2207256.393455197,15349.133658958212,48.09179528963975,1073.6577734710538
-172526.77047745383,-2207227.707913904,15439.95693504672,56.777816203779246,1072.3277343342443
-172612.87171358513,-2207198.675652481,15530.780211135232,65.46383711791891,1070.9976951974347
-172698.853775699,-2207169.2915842896,15621.603487223741,74.14985803205842,1069.6676560606252
-172784.71233621667,-2207139.5506226886,15712.426763312253,82.8358789461981,1068.3376169238156
-172870.44306755954,-2207109.447681039,15803.250039400762,91.5218998603376,1067.007577787006
-172956.04164214892,-2207078.9776727012,15894.073315489271,100.2079207744771,1065.6775386501968
-173041.50373240613,-2207048.135511035,15984.896591577783,108.89394168861676,1064.3474995133872
